	Education	Marital_Status	Income	Recency	Complain	Response	Age	Kids	MntTotal	NumTotal	TotalAccepted	AvgWeb	YearsACustomer	Frequency
50	0	1	65486.0	29	0	0	66	1	507	17	0	2.0	9	17
51	0	0	79143.0	2	0	0	59	0	1693	29	0	2.0	11	29
52	0	1	35790.0	54	0	0	46	1	72	7	0	0.29	10	7
53	0	1	82582.0	54	0	1	46	0	1617	21	2	4.0	9	21
54	0	0	66373.0	57	0	0	45	2	606	23	0	1.33	10	23
55	0	0	82384.0	55	0	1	68	0	1957	27	1	3.0	11	27
56	0	1	70287.0	30	0	1	57	0	1093	21	0	1.67	10	21
57	0	1	27938.0	31	0	0	35	1	29	6	0	0.33	9	6
58	0	1	51381.5	57	0	0	41	1	46	7	0	0.33	10	7
59	0	0	55954.0	63	0	0	55	1	518	19	0	1.14	9	19
60	0	1	75777.0	12	0	1	41	0	1438	21	2	3.0	10	21
61	0	0	66653.0	18	0	0	48	2	612	22	0	1.33	11	22
62	0	1	61823.0	26	0	0	71	1	884	24	0	1.14	10	24
63	0	1	67680.0	8	0	0	72	1	606	19	0	1.4	10	19
64	0	0	70666.0	29	0	0	75	0	1076	16	0	1.75	10	16
65	0	0	25721.0	75	0	1	52	1	34	5	0	0.14	10	5
66	0	0	32474.0	0	0	0	56	2	11	4	0	0.14	9	4
67	0	1	88194.0	19	0	1	44	1	1274	32	2	2.2	9	32
68	0	0	69096.0	4	0	0	65	1	653	18	0	1.25	10	18
69	0	0	74854.0	90	0	0	53	3	1562	19	0	0.4	10	19
70	0	0	66991.0	1	0	0	69	0	1253	21	0	1.33	11	21
71	0	0	51381.5	25	0	0	50	1	109	9	0	0.38	11	9
72	0	0	65031.0	29	0	0	64	1	863	30	0	1.43	10	30
73	0	0	60631.0	88	0	0	48	2	661	24	1	1.29	10	24
74	0	0	28332.0	58	0	0	71	0	65	8	0	1.0	9	8
75	0	1	40246.0	68	0	0	46	1	13	4	0	0.17	11	4
76	0	0	75251.0	34	0	1	51	0	1890	19	0	1.4	11	19
77	0	1	75825.0	40	0	1	47	0	2209	22	1	1.25	11	22
78	0	0	26326.0	12	1	0	47	0	18	4	0	0.0	10	4
79	0	0	56046.0	9	0	1	58	0	692	21	1	1.25	10	21
80	0	1	29760.0	87	0	0	38	1	165	12	0	0.38	11	12
81	0	0	26304.0	5	0	0	54	1	16	4	0	0.14	10	4
82	0	0	23559.0	87	0	0	50	1	79	9	0	0.43	10	9
83	0	0	38620.0	56	0	0	60	0	318	11	0	0.67	10	11
84	0	1	81361.0	18	0	0	36	0	778	27	0	3.0	9	27
85	0	0	29440.0	95	0	0	63	2	56	7	0	0.14	10	7
86	0	0	36138.0	48	0	0	53	2	151	13	1	0.43	10	13
87	0	1	50388.0	3	0	1	66	1	372	17	2	0.86	9	17
88	0	0	79593.0	70	0	0	50	0	1366	19	1	2.5	9	19
89	0	0	54178.0	79	0	0	56	1	194	10	0	1.0	9	10
90	0	0	51381.5	4	0	0	66	3	603	29	0	0.78	11	29
91	0	1	51381.5	45	0	0	66	2	18	4	0	0.14	9	4
92	0	0	51381.5	87	0	0	50	0	985	15	0	2.0	10	15
93	0	1	42394.0	69	0	0	51	1	32	5	0	0.14	9	5
94	0	0	23626.0	84	0	0	53	1	43	10	0	0.6	9	10
95	0	0	30096.0	30	0	0	40	1	45	6	0	0.33	9	6
96	0	1	47916.0	72	0	0	63	1	606	22	1	1.17	11	22
97	0	1	51813.0	37	0	0	51	2	63	7	0	0.29	10	7
98	0	0	78497.0	44	0	0	72	0	978	25	1	2.5	10	25
99	0	0	50150.0	32	0	0	40	0	410	16	0	1.0	10	16
100	0	1	47823.0	0	0	0	63	1	72	7	0	0.25	10	7
101	0	1	34554.0	43	0	0	64	1	55	7	0	0.33	9	7
102	0	0	85693.0	59	0	0	44	1	1169	27	0	1.8	10	27
103	0	0	65846.0	68	0	0	78	0	1120	16	0	1.5	10	16
104	0	0	87195.0	35	0	1	64	0	1097	20	0	3.0	9	20
105	1	0	24594.0	94	0	0	44	1	29	5	0	0.2	10	5
106	0	0	49096.0	15	0	0	59	2	187	13	0	0.57	10	13
107	0	0	52413.0	56	0	0	54	2	910	26	0	1.0	10	26
108	0	1	38557.0	17	0	0	45	1	145	9	0	0.43	11	9
109	0	0	89058.0	18	0	0	63	0	850	14	0	2.5	11	14
110	0	0	77298.0	46	0	0	44	1	969	24	0	2.0	10	24
111	0	1	68126.0	40	0	1	32	0	1820	17	1	0.78	11	17
112	0	0	57288.0	27	0	0	60	1	608	20	1	1.33	9	20
113	0	1	86037.0	95	0	1	32	0	730	25	2	2.0	10	25
114	0	0	43974.0	19	0	0	43	1	551	21	0	0.86	11	21
115	0	1	50785.0	27	0	0	61	2	114	8	0	0.33	10	8
116	0	0	90765.0	25	0	0	53	0	1724	15	2	4.0	9	15
117	0	0	36550.0	74	0	0	45	1	577	20	0	1.0	10	20
118	0	0	30753.0	85	0	0	56	2	81	7	0	0.2	10	7
119	0	0	21918.0	37	0	0	54	1	33	7	0	0.33	10	7
120	0	0	56129.0	65	0	0	70	1	660	22	0	1.5	10	22
121	0	1	32557.0	13	0	1	56	1	80	9	0	0.4	9	9
122	0	0	19510.0	63	0	0	38	2	30	6	0	0.14	10	6
123	0	1	30992.0	83	0	0	47	1	43	5	0	0.14	10	5
124	0	1	101970.0	69	0	1	40	0	1135	27	3	3.0	10	27
125	0	0	71488.0	87	0	0	58	0	559	16	0	3.0	10	16
126	0	1	79607.0	37	0	1	39	0	1923	16	0	3.0	10	16
127	0	0	54348.0	51	0	0	70	2	90	8	0	0.33	9	8
128	0	0	51381.5	23	0	0	62	1	404	17	0	1.0	10	17
129	0	0	77376.0	72	0	0	67	2	661	23	0	1.5	9	23
130	0	0	62998.0	10	0	0	71	1	463	19	0	1.0	10	19
131	0	1	61331.0	42	0	0	65	2	632	23	0	1.38	10	23
132	0	0	73448.0	10	0	0	54	0	725	19	0	1.75	9	19
133	0	0	51381.5	96	0	0	60	1	725	19	0	1.5	10	19
134	0	0	41551.0	51	0	0	59	2	279	16	0	0.62	10	16
135	0	0	62981.0	21	0	0	56	0	1482	23	1	1.33	10	23
136	1	1	9548.0	31	0	0	47	1	29	6	0	0.12	11	6
137	0	0	33762.0	61	0	0	64	3	106	9	0	0.25	10	9
138	0	1	35860.0	37	0	1	50	2	49	6	1	0.2	9	6
139	0	1	36921.0	74	0	0	58	2	38	7	0	0.29	10	7
140	0	1	92859.0	46	0	0	31	0	2077	22	0	2.5	11	22
141	0	0	65104.0	4	0	1	47	1	1053	17	0	0.43	10	17
142	0	0	86111.0	73	0	0	61	0	1385	23	0	2.5	10	23
143	0	1	68352.0	47	0	0	49	1	871	25	0	1.33	10	25
144	0	0	41883.0	13	0	0	35	1	312	12	0	0.57	10	12
145	0	0	59809.0	36	0	0	47	2	877	15	0	0.38	11	15
146	0	0	23957.0	47	0	1	48	1	68	6	0	0.33	11	6
147	0	0	38547.0	49	1	0	42	1	22	4	0	0.12	10	4
148	0	0	35688.0	94	0	0	50	3	211	16	0	0.5	11	16
149	0	0	49605.0	65	0	0	57	0	127	8	0	0.67	9	8
150	0	0	59354.0	59	0	0	70	2	459	16	0	1.33	9	16
151	0	0	65747.0	96	0	0	54	1	460	19	1	1.33	9	19
152	0	0	46344.0	28	0	0	51	1	429	17	0	1.0	11	17
153	0	1	34176.0	12	0	0	35	1	89	11	0	0.5	9	11
154	0	0	61010.0	57	0	0	71	1	1021	26	0	1.6	11	26
155	0	0	69372.0	10	0	1	74	0	1381	21	2	2.5	10	21
156	0	1	49967.0	4	0	0	65	1	306	15	0	0.86	10	15
157	0	1	60199.0	49	0	0	45	3	18	4	0	0.0	10	4
158	0	0	55375.0	3	0	0	46	1	162	9	0	0.5	10	9
159	0	1	80317.0	64	0	0	68	0	1231	18	0	3.0	10	18
160	0	1	30523.0	0	0	0	65	3	13	4	0	0.14	10	4
161	0	0	70356.0	20	0	0	78	0	1706	27	0	1.67	11	27
162	0	0	23228.0	91	0	0	39	1	121	11	0	0.38	9	11
163	0	1	74165.0	9	0	0	48	0	1293	20	0	2.5	10	20
164	0	0	157243.0	98	0	0	50	1	1608	37	0	0.0	9	37
165	0	0	43482.0	83	0	0	57	3	88	9	0	0.33	10	9
166	0	1	62551.0	27	0	0	70	0	421	18	1	2.0	10	18
167	0	1	52332.0	63	0	0	64	0	259	12	1	0.75	10	12
168	0	1	66951.0	46	0	0	35	0	1117	15	0	3.0	10	15
169	0	0	26091.0	84	0	0	66	2	89	9	0	0.4	9	9
170	0	0	33456.0	58	0	0	58	2	36	6	0	0.14	9	6
171	0	0	28718.0	78	0	0	41	1	57	7	0	0.25	10	7
172	0	0	50447.0	4	0	0	53	2	148	8	0	0.5	9	8
173	0	0	53537.0	17	0	0	64	2	93	8	0	0.4	9	8
174	0	1	52074.0	77	0	0	56	1	119	7	1	0.5	9	7
175	0	0	80427.0	56	0	0	48	1	1835	28	0	2.2	11	28
176	0	0	83837.0	79	0	1	75	0	1318	25	2	2.25	11	25
177	0	0	38853.0	90	0	0	53	2	45	7	0	0.29	9	7
178	0	0	38285.0	96	0	0	64	3	10	4	0	0.0	9	4
179	0	0	78497.0	44	0	0	72	0	978	25	1	2.5	10	25
180	0	0	51650.0	81	0	0	47	1	191	10	0	0.8	9	10
181	0	0	16248.0	77	0	0	35	1	57	9	0	0.33	9	9
182	0	0	66835.0	21	0	0	77	0	1033	24	0	3.0	10	24
183	0	0	30477.0	16	0	0	39	1	66	6	0	0.17	9	6
184	1	0	28249.0	80	0	0	62	0	43	6	0	0.33	9	6
185	0	0	25271.0	45	0	0	40	1	50	5	0	0.11	11	5
186	0	1	32303.0	63	0	0	53	1	39	7	0	0.2	9	7
187	0	0	61286.0	34	0	0	57	1	608	18	0	1.4	10	18
188	0	0	74068.0	14	0	0	47	0	1581	24	0	2.0	10	24
189	0	0	45759.0	13	0	0	59	2	68	7	0	0.29	10	7
190	1	0	24882.0	52	0	0	45	1	80	5	1	0.17	11	5
191	0	0	66973.0	98	0	0	34	0	1282	28	0	2.67	10	28
192	0	1	36640.0	99	1	0	123	1	65	6	0	0.4	10	6
193	0	0	38872.0	93	0	0	35	1	91	8	0	0.38	10	8
194	0	0	51148.0	38	0	0	50	2	315	16	0	0.83	10	16
195	0	0	31353.0	24	0	0	46	2	31	6	0	0.12	10	6
196	0	0	69661.0	80	0	0	43	0	834	23	0	2.33	9	23
197	0	0	80067.0	82	0	0	69	0	1600	17	1	2.0	10	17
198	0	0	86718.0	20	0	0	69	0	1270	17	0	2.5	10	17
199	0	1	46854.0	81	0	1	50	2	263	15	1	0.62	9	15
200	0	1	69142.0	50	0	0	71	1	535	19	1	1.6	9	19
201	0	1	75922.0	60	0	0	55	0	1295	18	0	4.0	10	18
202	0	1	63693.0	63	0	0	45	1	1150	29	0	1.83	10	29
203	0	0	102160.0	54	0	1	46	0	1240	26	3	1.75	11	26
204	0	1	40637.0	72	0	0	58	2	38	6	0	0.14	10	6
205	0	1	18890.0	5	0	1	39	0	35	4	1	0.0	11	4
206	0	0	29604.0	88	0	0	35	1	53	5	1	0.11	10	5
207	0	1	48721.0	50	0	0	60	2	293	17	0	0.67	10	17
208	0	0	44794.0	99	0	0	57	1	65	6	0	0.33	9	6
209	0	1	64497.0	17	0	1	69	1	1804	29	1	1.38	11	29
210	0	0	46097.0	11	0	0	67	1	241	15	0	0.75	10	15
211	0	0	77972.0	18	0	0	69	0	1101	20	0	4.0	9	20
212	0	0	44377.0	70	0	0	55	2	264	19	0	0.62	11	19
213	0	0	46014.0	21	0	0	49	2	541	26	0	1.0	10	26
214	0	0	70951.0	66	0	0	38	0	1198	17	0	3.0	10	17
215	0	0	41443.0	79	0	0	46	1	482	20	0	1.0	9	20
216	0	1	52195.0	2	0	0	45	3	17	4	0	0.12	9	4
217	0	0	83790.0	81	0	0	75	0	1615	25	2	2.67	10	25
218	0	1	44551.0	24	0	0	69	1	285	12	0	0.57	10	12
219	0	0	69508.0	48	0	0	43	1	1135	28	0	1.83	11	28
220	0	0	45204.0	93	0	0	35	1	114	7	0	0.33	9	7
221	0	0	72460.0	56	0	0	54	0	1047	16	0	3.0	10	16
222	0	0	77622.0	3	0	0	53	2	714	22	0	2.0	9	22
223	0	0	30732.0	44	0	0	43	1	185	13	0	0.5	10	13
224	0	1	63887.0	38	0	0	61	1	1245	32	0	1.5	11	32
225	0	0	42011.0	46	0	0	45	1	189	12	0	0.38	10	12
226	0	0	51369.0	84	0	0	47	1	576	16	0	1.0	11	16
227	0	1	51537.0	27	0	0	71	1	1103	18	0	0.25	11	18
228	0	0	79930.0	72	0	0	51	0	1753	17	0	1.5	11	17
229	0	0	34320.0	66	0	0	37	1	17	4	0	0.12	9	4
230	0	1	37070.0	30	0	1	57	2	433	23	0	0.71	10	23
231	0	1	81975.0	2	0	0	61	1	1588	14	1	0.86	10	14
232	0	0	38590.0	65	0	0	52	1	22	4	0	0.12	10	4
233	0	1	15033.0	37	0	0	72	0	19	5	0	0.33	9	5
234	0	0	62745.0	89	0	0	58	1	1117	29	0	1.4	10	29
235	0	0	22212.0	49	0	0	48	1	69	8	0	0.33	10	8
236	0	0	23661.0	46	0	0	41	1	23	5	0	0.14	10	5
237	0	1	79761.0	32	0	0	65	1	605	19	0	1.67	10	19
238	0	1	7500.0	54	0	0	50	1	57	11	0	0.43	10	11
239	0	1	60182.0	23	0	0	130	1	22	4	0	0.25	9	4
240	0	1	73455.0	98	0	0	55	0	2088	22	1	2.0	10	22
241	0	0	64961.0	97	0	0	65	1	1009	16	0	2.0	11	16
242	0	1	22804.0	75	0	0	52	1	26	5	0	0.22	10	5
243	0	0	73687.0	8	0	1	33	0	1627	22	1	1.5	10	22
244	0	0	61074.0	37	0	0	65	1	1102	31	0	1.57	11	31
245	0	0	31686.0	31	0	0	59	2	17	6	0	0.17	9	6
246	0	0	80134.0	40	0	1	51	1	1690	16	3	0.83	10	16
247	0	0	75027.0	74	0	0	70	1	1390	21	0	1.8	10	21
248	0	0	67546.0	90	0	0	35	0	2126	20	0	1.33	11	20
249	0	0	65176.0	57	0	0	54	1	1531	25	0	1.5	11	25
250	0	1	31160.0	59	0	0	48	1	64	7	0	0.25	10	7
251	0	1	29938.0	52	0	0	38	1	26	6	0	0.17	10	6
252	0	1	102692.0	5	0	1	49	0	1112	29	4	3.0	10	29
253	0	0	26490.0	92	0	0	65	0	210	11	0	0.5	11	11
254	0	0	75702.0	77	0	0	56	2	1148	26	0	0.5	11	26
255	0	1	30899.0	35	0	0	49	1	33	6	0	0.17	11	6
256	0	0	63342.0	48	0	0	62	1	1101	19	1	1.33	11	19
257	0	1	45989.0	97	0	0	59	1	322	16	0	1.0	11	16
258	0	1	18701.0	95	0	0	59	2	44	10	0	0.4	10	10
259	0	1	40737.0	24	0	0	66	3	17	4	0	0.12	10	4
260	0	1	15287.0	60	0	1	44	1	31	6	1	0.14	11	6
261	0	1	69674.0	46	0	0	55	2	845	25	0	2.0	10	25
262	0	0	44159.0	85	0	0	53	1	275	15	0	0.8	9	15
263	0	0	37717.0	31	0	0	45	1	25	4	0	0.11	11	4
264	0	0	43776.0	9	0	1	71	2	275	17	0	0.62	10	17
265	0	0	38179.0	30	0	0	57	2	90	11	0	0.43	10	11
266	0	0	80124.0	47	0	0	60	0	1495	19	1	3.0	9	19
267	0	0	38097.0	70	0	1	53	2	184	11	1	0.43	11	11
268	0	0	72940.0	13	0	0	53	0	981	13	0	3.0	10	13
269	0	0	22070.0	11	0	0	53	1	67	8	0	0.33	10	8
270	0	1	69267.0	31	0	1	70	0	1635	14	0	0.43	11	14
271	0	1	31788.0	15	1	0	40	1	60	10	0	0.6	9	10
272	0	0	61905.0	2	0	0	48	1	231	12	0	0.8	9	12
273	0	0	29315.0	55	0	0	63	2	48	10	0	0.33	9	10
274	0	1	33378.0	38	0	0	60	2	99	9	0	0.29	10	9
275	0	0	66313.0	86	0	0	60	1	770	23	0	1.5	10	23
276	0	1	60714.0	56	0	1	67	0	957	23	0	1.4	10	23
277	0	0	77882.0	29	0	0	42	0	818	12	0	3.0	9	12
278	0	1	69867.0	30	0	1	37	0	925	17	1	3.0	10	17
279	0	1	63841.0	64	0	0	55	1	908	22	0	1.5	10	22
280	1	0	24480.0	46	0	0	42	1	102	10	0	0.43	10	10
281	0	0	51369.0	84	0	0	47	1	576	16	0	1.0	11	16
282	0	0	37760.0	20	0	0	77	0	317	13	0	0.57	11	13
283	0	0	65640.0	74	0	0	49	1	461	15	0	2.5	9	15
284	0	0	44319.0	18	0	0	48	2	37	7	0	0.4	9	7
285	0	0	30631.0	75	0	0	49	1	70	7	0	0.43	10	7
286	0	0	75278.0	17	0	0	71	0	930	23	0	2.0	10	23
287	0	0	50898.0	88	0	0	67	2	859	33	0	1.2	10	33
288	0	1	79946.0	19	0	0	57	0	1478	22	0	1.67	9	22
289	0	1	35416.0	62	0	0	74	0	390	16	0	0.88	10	16
290	0	0	32414.0	11	0	0	39	0	52	5	1	0.14	10	5
291	0	0	38361.0	74	0	0	54	1	137	10	0	0.43	10	10
292	0	0	82497.0	32	0	0	43	0	1919	19	1	0.5	11	19
293	0	0	16626.0	76	0	0	52	2	68	9	0	0.33	9	9
294	0	0	29672.0	6	0	0	58	2	25	4	0	0.0	10	4
295	0	0	55951.0	62	0	0	71	1	1374	23	2	0.38	11	23
296	0	1	35388.0	20	0	0	35	1	32	5	0	0.14	10	5
297	0	0	42386.0	43	0	0	37	1	100	7	0	0.38	10	7
298	0	1	68627.0	45	0	0	41	0	825	12	0	2.0	10	12
299	0	1	57912.0	34	0	0	58	1	916	28	1	1.6	9	28
300	0	1	35246.0	53	0	0	65	2	62	11	0	0.6	9	11
301	0	0	58821.0	44	0	0	67	1	728	21	0	1.5	10	21
302	0	0	46377.0	89	0	0	45	1	90	7	0	0.5	9	7
303	0	1	39747.0	43	0	0	35	1	273	13	0	0.62	9	13
304	0	0	23976.0	68	0	0	39	1	66	10	0	0.43	10	10
305	0	0	80950.0	44	0	0	62	0	1213	23	1	3.0	10	23
306	0	1	27038.0	64	0	1	57	0	107	7	0	0.33	11	7
307	0	1	77457.0	85	0	0	76	0	1157	18	1	2.0	9	18
308	0	0	64100.0	93	0	0	59	1	546	18	1	1.14	10	18
309	0	0	42670.0	12	0	0	31	0	241	11	0	1.0	10	11
310	0	1	12571.0	86	0	0	47	1	53	11	0	0.5	9	11
311	0	0	22574.0	28	0	0	56	3	37	7	0	0.29	10	7
312	0	0	51381.5	69	0	0	34	0	1611	24	2	2.0	10	24
313	0	1	70893.0	42	0	0	47	0	1508	23	0	2.0	10	23
314	0	0	54198.0	13	0	0	57	2	235	16	0	0.75	10	16
315	0	0	28839.0	86	0	0	67	2	32	7	0	0.4	9	7
316	0	0	40321.0	59	0	0	51	2	102	8	0	0.43	10	8
317	0	1	66503.0	30	0	0	38	1	401	15	0	1.33	11	15
318	0	0	30833.0	33	0	0	72	2	28	6	0	0.2	10	6
319	0	1	51381.5	67	0	0	53	3	1052	21	2	0.29	10	21
320	0	0	64795.0	23	0	0	52	1	680	21	0	1.5	10	21
321	0	0	34421.0	81	0	0	49	1	30	4	0	0.14	10	4
322	0	1	47025.0	6	0	0	58	2	20	4	0	0.14	9	4
323	0	1	64325.0	41	0	0	62	1	1307	23	0	1.43	10	23
324	0	1	40464.0	78	0	0	70	1	630	24	0	1.0	10	24
325	0	0	62187.0	49	0	0	66	0	1283	18	0	1.33	10	18
326	0	1	14849.0	39	0	0	47	1	65	9	0	0.25	10	9
327	0	0	27255.0	3	0	0	39	1	37	5	0	0.14	10	5
328	0	0	54432.0	37	0	0	73	3	38	5	0	0.25	10	5
329	0	1	29999.0	22	0	0	37	1	160	12	0	0.38	10	12
330	0	1	24072.0	79	0	0	40	1	23	4	0	0.12	10	4
331	0	1	33996.0	46	0	0	34	0	71	6	0	0.25	10	6
332	0	0	66334.0	82	0	1	67	1	1161	19	0	1.8	10	19
333	0	0	35178.0	10	0	1	52	1	59	5	1	0.14	10	5
334	0	0	22010.0	51	0	0	40	1	33	7	0	0.25	10	7
335	0	1	62204.0	38	0	0	63	2	946	22	0	1.33	11	22
336	0	1	75693.0	10	0	1	55	0	1442	22	3	2.75	11	22
337	0	0	30675.0	14	0	0	51	1	62	5	0	0.12	11	5
338	0	0	83003.0	18	0	1	58	0	1674	22	1	2.33	10	22
339	0	0	83532.0	36	0	0	124	0	1853	15	1	4.0	10	15
340	0	1	68655.0	95	0	0	35	0	1538	21	0	1.33	11	21
341	0	1	41411.0	11	0	0	37	0	139	8	0	0.33	10	8
342	0	0	55212.0	65	0	0	54	1	1182	20	2	0.5	11	20
343	0	0	59292.0	71	0	0	73	1	507	18	0	1.0	10	18
344	1	0	27190.0	13	0	1	50	1	18	4	1	0.12	10	4
345	0	1	82623.0	58	0	0	71	0	940	16	0	2.0	10	16
346	0	0	44300.0	65	0	0	58	2	42	6	0	0.17	10	6
347	0	1	84835.0	0	0	1	53	0	1190	15	0	4.0	9	15
348	0	1	30372.0	33	0	0	52	2	44	8	0	0.29	11	8
349	0	0	33181.0	90	0	0	47	1	16	4	1	0.17	9	4
350	0	0	71113.0	95	0	0	66	1	835	26	0	1.5	10	26
351	0	0	71952.0	93	0	0	37	1	1443	22	2	2.0	10	22
352	0	1	69759.0	38	0	1	57	0	1029	18	0	1.33	10	18
353	0	0	72099.0	18	0	0	49	0	1188	18	0	3.0	11	18
354	0	1	60000.0	57	0	0	47	1	1277	24	0	1.83	11	24
355	0	1	38643.0	45	1	0	45	2	49	7	0	0.29	10	7
356	0	0	50737.0	61	0	0	68	1	99	7	1	0.33	10	7
357	0	0	68462.0	6	0	0	54	0	1670	15	0	3.0	11	15
358	0	0	65073.0	65	1	0	80	0	900	14	0	2.5	10	14
359	0	0	46681.0	52	0	0	75	2	425	16	0	0.8	10	16
360	0	0	78618.0	87	0	0	66	0	2153	22	1	2.0	11	22
361	0	1	62187.0	38	0	0	54	1	636	21	0	1.5	9	21
362	0	0	28442.0	53	0	0	45	2	57	10	0	0.5	9	10
363	0	0	37717.0	31	0	0	45	1	25	4	0	0.11	11	4
364	0	0	51479.0	67	0	0	56	2	494	22	0	0.86	11	22
365	0	1	54803.0	65	0	0	54	1	693	19	0	1.5	11	19
366	0	0	79530.0	64	0	0	63	0	1348	26	0	2.0	10	26
367	0	1	31615.0	82	0	0	47	1	51	7	0	0.29	10	7
368	0	0	72025.0	27	0	0	61	0	1932	16	0	1.33	11	16
369	0	1	52614.0	63	0	0	48	1	990	16	0	0.25	11	16
370	0	0	35684.0	66	0	0	39	1	30	5	0	0.17	9	5
371	0	0	48178.0	69	0	0	48	2	254	16	0	0.62	11	16
372	0	1	29548.0	52	0	0	53	1	29	5	1	0.25	10	5
373	0	1	63810.0	45	0	0	57	1	1371	23	1	0.5	11	23
374	0	1	38578.0	2	0	1	51	2	73	9	0	0.38	10	9
375	0	1	46098.0	86	0	0	48	2	120	11	0	0.38	11	11
376	0	1	22585.0	23	0	1	53	0	81	5	1	0.11	10	5
377	0	1	30279.0	13	0	0	34	1	37	5	0	0.12	11	5
378	0	0	66426.0	14	0	0	62	1	1377	20	0	0.5	10	20
379	0	1	30822.0	92	0	0	54	1	51	5	0	0.14	10	5
380	0	0	33581.0	38	0	0	54	2	17	4	0	0.12	10	4
381	0	0	19986.0	74	0	0	38	1	22	4	0	0.0	10	4
382	0	1	27421.0	14	0	0	69	0	324	14	0	0.57	11	14
383	0	0	35688.0	94	0	0	50	3	211	16	0	0.5	11	16
384	0	1	36143.0	33	0	0	42	1	19	4	0	0.0	9	4
385	0	1	10245.0	32	0	0	52	1	41	8	0	0.2	10	8
386	0	0	43795.0	11	0	1	55	1	492	17	1	1.0	10	17
387	0	0	63381.0	78	0	0	63	1	1005	26	0	2.0	11	26
388	0	0	38823.0	56	0	0	74	1	114	7	0	0.33	11	7
389	0	1	83664.0	57	0	0	55	2	1173	19	0	0.4	10	19
390	0	0	90300.0	7	0	0	44	0	1738	19	1	5.0	9	19
391	0	0	62499.0	0	0	0	44	1	222	12	0	0.75	10	12
